,Text,Type
790,Gaga vs. Carla bake-off. Carla wins for me 🥹🖤 https://t.co/bpBcLC9UHa,Not a bot
791,Happy National Lipstick Day.  @hauslabs and @sephora had a new baby 💋 and it’s ZERO TRANSFER PATENT HIGH-SHINE ALL DAY  https://t.co/lZHFESvehK,Not a bot
792,@Heloisegaga08 Looks like a chia seed 🥹 that’s what happens when you go live sh*t happens and it’s all beautiful!,Not a bot
793,My favorite we’ve done yet 🖤 a lip that’s truly a work of art! https://t.co/MDywqsMZqF,Not a bot
794,@gagamajesty 👀,Not a bot
795,"BEAUTY BAKE-OFF ON TIKTOK
Bake Atomic Shake for 15 seconds for zero transfer high-shine magic!
https://t.co/8aOvgDmorn https://t.co/V8BPZo04BF",Not a bot
796,FACT https://t.co/0ZJlCLlytP,Not a bot
797,"RT @hauslabs: ATOMIC SHAKE LIP LACQUER IS HERE❗Introducing a truly revolutionary clean, high-shine, transfer-proof liquid lipstick that del…",Not a bot
798,And you get FIVE STARS for making me cry in hair and makeup before my show tonight! Thank you we love you so much.  Community is life 🙏🖤🖤🖤🖤🌟🌟🌟🌟🌟 https://t.co/RRpEeqbTyZ,Not a bot
799,THAT WAS SO FUN YOU ARE PURE LOVE !!!  🖤🖤🖤 #ChromaticaBallParis,Not a bot
800,STAY SAFE DRINK WATER ITS HOT OUT THERE NO DRUGS I LOVE YOU 🖤🐾 https://t.co/xWu33nqh7K,Not a bot
801,See you soon!!  🖤 https://t.co/vc1KhMWrQz,Not a bot
802,"RT @StadeFrance: ⚠️ Info LADY GAGA 24/07 ⚠️

Afin de préparer au mieux votre venue, voici les informations et conseils pour que le concert…",Not a bot
803,🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤 https://t.co/5drvi6KnZ7,Not a bot
804,This one made me cry 🖤🙏thank you https://t.co/szcZDez3nU,Not a bot
805,🥹🖤 https://t.co/cHsIVAFK8r,Not a bot
806,This is incredible!! Thank you so much ❤️ a FIVE STAR REVIEW FOR #ChromaticaBall ⭐️ ⭐️ 🌟 🌟 ⭐️ !! We worked so hard! We love the world and we love art so much! Live your passion!! https://t.co/Ml5vHLYJp3,Not a bot
807,Loved wearing the @hauslabs Atomic Shake Lip Lacquer shade Ruby Shine on stage ❤️ Coming soon to @Sephora and https://t.co/lfX4GLwMiF on July 26! https://t.co/xU17qYFRih https://t.co/IylgG4rtza,Not a bot
808,@charlottehavock I didn’t fall! I jumped into a knee slide and rolled 🥹🖤 out of love,Not a bot
809,"We are all so excited for OUR SOLD OUT STADIUM SHOW IN STOCKHOLM, SWEDEN 🖤 there’s surprises tonight, I felt inspired to pour even more of my heart into the show. “I need you to listen to me please believe me, I’m completely lonely please don’t judge me.” Xx LG #ChromaticaBall",Not a bot
810,RT @AmyGrimesSuxx: Lady Gaga Little Monsters ALWAYS understand the assignment! Check out these #chromaticaball outfits! @ladygaga @hauslabs…,Not a bot
811,RT @Kaoivin: @ladygaga SOO GOOD TO HAVE YOU BACK MOTHER! ⚔️🖤 https://t.co/xelBN0kwEY,Not a bot
812,🥹🖤 https://t.co/TLh02pc8DO,Not a bot
813,"@souIfka Part love letter, part SLAYATHON",Not a bot
814,LETS TALK 🥹 I LOVE YOU ALL SO MUCH AND MISSED YOU THANK YOU FOR A SHOW I WILL NEVER FORGET IM A MONSTER FOR LIFE AND EVEN MONSTERS CAN HEAL https://t.co/ftMbMmDv6G,Not a bot
815,"THIS IS MY DANCE FLOOR
I FOUGHT FOR https://t.co/dTi5wLJl5s",Not a bot
816,🥹🖤 https://t.co/zQCeJVhrRH,Not a bot
817,"@Monster4Gaga24 We kept the stadium roof closed to preserve the artistry of the light, the films, for the fashion as well as the spirit of facing your own brutality.",Not a bot
818,WHAT DOES CHROMATICA MEAN? A BATTLE FOR YOUR LIFE 🖤💋,Not a bot
819,@lorrie_e It only stops when YOU keep going 🖤,Not a bot
820,"There was a time I thought I’d never be on stage again. I was so sad I couldn’t even dream anything but a painful nightmare. I’ve overcome my nightmare with love, support, trust, truth, bravery, talent and dedication.  I am so grateful. I’ll see you in BABYLON. #ChromaticaBall",Not a bot
821,"RT @BTWFoundation: (1/2) Born This Way Foundation is proud to announce our $1,000,000 Kindness in Community Fund to fund nonprofit organiza…",Not a bot
822,"In celebration of Pride, @BTWFoundation is matching all donations at the link below to support LGBTQ+ organizations across the country ❤️ https://t.co/J4dzYRRCDX https://t.co/F4Qr4lD8TB",Not a bot
823,An everyday artistry look tutorial by me using @HausLabs products is up on @Sephora’s YouTube channel! Watch now 💕 https://t.co/8rVe2KInEU,Not a bot
824,RT @itstonybennett: Another chance to catch the incredible special ONE LAST TIME: AN EVENING WITH TONY BENNETT &amp; LADY GAGA airing tonite at…,Not a bot
825,#HoldMyHand on Today’s Top Hits 🖤 @Spotify https://t.co/DUAOVnM8DF https://t.co/opl5h5mQHT,Not a bot
826,"RT @SHOWstudio: Nick Knight &amp; @ladygaga — see you at the Chromatica Ball. 🌟

#ChromaticaBall https://t.co/gK0ZK1roCt",Not a bot
827,Listen on Spotify: https://t.co/mExjfgguPw,Not a bot
828,"Grace and I share a vocal coach who is deeply meaningful to us both and changed our lives, through him I found her and she found me. So proud of her and feel touched she wrote a song inspired by me. Love her! Check it out! ❤️ @GraceGaustad1 https://t.co/9ExOKiXasf https://t.co/y6eWm8JyW9",Not a bot
829,If you decide to I’ll ride in this life with you ✈️ #HoldMyHand https://t.co/TFGa9OcKTe https://t.co/aRS62cmRPX,Not a bot
830,#HoldMyHand on Today’s Hits 🖤 @AppleMusic https://t.co/hzdr4mynvz https://t.co/JLJ6QFECQe,Not a bot
831,"Supercharged clean artistry, powered by innovation. @hauslabs https://t.co/dknNHCOXkP https://t.co/MVQBTNFbI2",Not a bot
832,Look what I just dropped at @sephora! @hauslabs MAKEUP IS OFFICIALLY in select stores and online. IN CASE YOU’RE WONDERING WHERE TO LOOK IT’S THE ONE THAT LOOKS LIKE A RAINBOW BECAUSE I MADE IT FOR YOU AND YOU’RE MY RAINBOW 🌈 https://t.co/lfX4GLwMiF https://t.co/Q9BJpKOnU4 https://t.co/uYXcjSlpIF,Not a bot
833,"7 Categories.
90 Products.
25+ Supercharged Skincare Ingredients.
Talc-Free.
Fragrance-Free.

Clean Artistry Makeup.
Now available:
@hauslabs and @sephora 
https://t.co/dknNHCOXkP https://t.co/2V4Vxua7yC",Not a bot
834,Guess what mall I’m headed to in LA this morning to take say hi to the beauty advisors and take a peak @hauslabs gondola @sephora and all our new products? 🚨🚨🚨10 am CALLING ALL ARTISTRY FANATICS,Not a bot
835,@hkelley1226 @hauslabs @Sephora Love this lineup 🙌,Not a bot
836,"It’s a MAKEUP EMERGENCY 🚨 @hauslabs @Sephora launches in 10 minutes https://t.co/bBj9wEI4TQ, https://t.co/gNFOhGJYaf, https://t.co/KuHm8Oq0sr 90 products going LIVE. CLEAN COLOR INFUSED WITH SKINCARE 👩‍🔬 💚",Not a bot
837,"Most black pigmented makeup products like eyeliner are loaded with carbon black – which can be bad for the skin, body and planet. Proudly, our black eyeliners and black paints are CARBON BLACK-FREE and rich in color @hauslabs 

Get a closer look: https://t.co/dknNHCOXkP https://t.co/3YGPLgJYEZ",Not a bot
838,@JAYACTII We aim to be fully carbon neutral by 2027 and are on track as a company to achieve this goal.,Not a bot
839,@sinefrombelow @jexadecimal @hauslabs Yes.,Not a bot
840,@fauxteen Our Philosophy ❤️ unlock the artist in the customer,Not a bot
841,@jexadecimal @hauslabs All of our products and packaging are vegan and cruelty-free.,Not a bot
842,@mothamonstah @alluregaga2 @hauslabs And they’re packed with plant squalane and hyaluronic to hydrate lip cheek and eye area!,Not a bot
843,"@remdorito @alluregaga2 @hauslabs They are amazing, nourishing and some shades double as a lip stain!",Not a bot
844,@auragngx @hauslabs It’s a quartz highlight that is Talc-free! But I also use it as a blush or and eyeshadow. All our products were designed to be versatile and bring out YOUR inner artistry.,Not a bot
845,@alluregaga2 @hauslabs Thank you 🙏 the packaging was designed to be eco-friendly as we as color coded like a library to make it easy for you to find your shades and explore color without any distraction!,Not a bot
846,"• And last but not least: our award-winning, clean brow pencils are now infused with Vitamin E and come in 13 inclusive shades.

Supercharged clean artistry makeup powered by innovation arrives June 9th only @sephora and @hauslabs. Get a closer look: https://t.co/dknNHCOXkP",Not a bot
847,"• Bronzer and highlighters formulated with pure pigments and proprietary ingredients that enhance your complexion and reduce redness.

• Eyeliners that are super pigmented and balanced with Argan Oil. Eco-friendly, safe for your waterline, easy to use, and will blow your mind.",Not a bot
848,"• Lip oils and full-coverage crayons packed with bold color and hydration.

• Eye, face, and body paints that take clean artistry and creativity to the next level.",Not a bot
849,I’m so proud to share our first 90 products from the all-new @hauslabs line! We’re disrupting clean makeup with cutting-edge ingredients inspired by the best of artistry and science. https://t.co/UkQ2gloKSi,Not a bot
850,"RT @Iggy_proof: [Drawing] HOLD MY HAND✈️🖤🖤
#LADYGAGA

#TOPGUN #TopGunMaverick SOUNDTRACK
https://t.co/FUnpRdGcF6 https://t.co/gQ4NUxNZc2",Not a bot
851,"Clean makeup in vibrant colors with high performance. Good for your skin and the planet. Coming June 9 only @sephora and https://t.co/lfX4GLwMiF

Sign up here: https://t.co/AEneBJUhgd",Not a bot
852,"I'm honored to launch our new supercharged line of clean artistry products in @sephora stores worldwide. At @hauslabs we believe artistry is for everyone, and that bold self-expression should come with healthy skin and strong principles. https://t.co/7fXmKetH8n",Not a bot
853,RT @joeholmeswriter: We loved #TopGunMaverick - best film this year so far!! What a birthday treat. Adore Hold My Hand too ofc ✈️🎞 we were…,Not a bot
854,"Two years ago we set out to create new, bold makeup that is supercharged with the worlds’ most innovative skincare ingredients.  @hauslabs is launching a new makeup line that we believe represents the future of clean artistry.  I hope will love our new products as much as I do.",Not a bot
855,Who's excited for a new clean makeup brand? Sign up here: https://t.co/AEneBJUhgd https://t.co/TQnV1DFJuz,Not a bot
856,#HOLDMYHAND ✈️🖤 @amazonmusicjp https://t.co/AViVVNKzgT https://t.co/u0HnpOG9hf,Not a bot
857,"LADY GAGA
THE CHROMATICA BALL
SUMMER STADIUM TOUR
TICKETS FOR BOTH TOKYO, JAPAN SHOWS ON SALE NOW
https://t.co/6KQAlVEXmX https://t.co/6Y1KuFGjYU",Not a bot
858,"#TOPGUN: MAVERICK 
MOVIE AND SOUNDTRACK OUT NOW! 
FEATURING “HOLD MY HAND” ✈️🖤
https://t.co/tAZpNlTDfm https://t.co/TjwWYXWaWe",Not a bot
859,"RT @channelkindness: ""All it takes is just one person to tell you what you are feeling on the inside is valid, to give yourself permission…",Not a bot
860,"LADY GAGA
THE CHROMATICA BALL
SUMMER STADIUM TOUR
 
TICKETS FOR NEW SHOWS IN HERSHEY, HOUSTON &amp; MIAMI GO ON SALE TODAY AT 10AM LOCAL TIME IN EACH CITY
https://t.co/6KQAlVEXmX https://t.co/e2KE04frwh",Not a bot
861,#HoldMyHand 🖤 @TopGunMovie out May 27 ✈️ https://t.co/JYIIaqkH5y https://t.co/24bxpWwzva,Not a bot
862,"LADY GAGA
THE CHROMATICA BALL
SUMMER STADIUM TOUR
NEW SHOWS ADDED IN HERSHEY, HOUSTON &amp; MIAMI
https://t.co/6KQAlVEXmX https://t.co/hRiqsFjPNY",Not a bot
863,Happy #TopGunDay 🖤 #HoldMyHand ✈️ @TopGunMovie https://t.co/WHyNCJdutB,Not a bot
864,"The future is beautiful 🌎 Supercharged clean artistry ONLY @Sephora (US/CAN) and https://t.co/lfX4GLwMiF (globally) June 9th
Get on the list: https://t.co/AEneBJUhgd https://t.co/ZqYeOXW2iy",Not a bot
865,🤝❤️🌎 https://t.co/FcJnQzju7f,Not a bot
866,"RT @hauslabs: Makeup can be *good* to your skin 💥 Our new clean products are packed with potent, innovative ingredients + complexes that de…",Not a bot
867,@CharlizeAfrica Clea and that makeup 🙌,Not a bot
868,"RT @iamgrinthal: — Hold my hand, everything will be okay @ladygaga https://t.co/1QrxF4reNO",Not a bot
869,RT @freakmonroe: “Hold my Hand” @ladygaga https://t.co/lRxb6opxUX,Not a bot
870,"@IM_MRTN @hauslabs @_Sasa______ We make makeup for everyone, all ages, sizes, skin tones and gender identity.  Our current/future products will meet our values as well as deliver on high-performing and skin improving formulas—we even have studies to back it up!",Not a bot
871,@IamGooGoo4Gaga @hauslabs We optimized it and made it clean! 100 percent improved!,Not a bot
872,@Hold_My_Gaga Yes hand yes,Not a bot
873,@BloodyNightx @hauslabs 👀🧪clean and packed with proprietary skincare without sacrificing color payoff or performance?,Not a bot
874,@ali_n_harrison @hauslabs True to color in photos! 📸,Not a bot
875,@stefanimamaa @hauslabs Red carpet tested!🎨🧪,Not a bot
876,"@iansgaga @hauslabs Your already beautiful we’re just here to help unlock your inner artist in whatever way feels good to you, and we do that safely with futuristic formulas and ingredients that are kind to your skin",Not a bot
877,"@hauslabs @_Sasa______ Yes we make everyday artistry, no matter if you like to express yourself with neutrals or brights we have color-coded packaging to inspire you and make it easy…👩‍🔬🎨",Not a bot
878,RT @hauslabs: Clean makeup that is kind to your skin 💗💚 Which color would you rock? Drop the emoji below https://t.co/RBo6w0okDp,Not a bot
879,@JudassVenus @hauslabs Yes 🙌🎨👩‍🎨,Not a bot
880,"RT @TopGunMovie_jp: ✈マーヴェリックが誇りをかけて飛ぶ✈

『#トップガン マーヴェリック』
━✈︎""胸熱""極まる新予告編解禁 ━✈︎

🎧#レディー・ガガ 渾身の
主題歌「HOLD MY HAND」が魂を揺さぶる！

ベスト・オブ・ザ・ベストな一曲が
物語…",Not a bot
881,@skylerxspace @hauslabs I like options 🙃,Not a bot
882,"SUPERCHARGED CLEAN ARTISTRY
https://t.co/R0ocmTQ3JU https://t.co/2PnFz21bHZ",Not a bot
883,@ari_joanne @hauslabs And it’s clean so is safe in your waterline!,Not a bot
884,@ari_joanne @hauslabs Yes and yes!,Not a bot
885,"@EmoJoshy1 @GagaMediaDotNet @hauslabs Every product has been either been newly developed, innovated or optimized for our high standards of clean, performance and color!",Not a bot
886,"@PrincessDieNYC Please tell me that’s not highlighter for your textbook! Not good for your skin 😉 This is why we @hauslabs will be offering clean artistry makeup, safe for your skin and still high-pigment no compromise color!",Not a bot
887,@iamfaelz There’s a particular product I have in mind for you 👩‍🔬🎨,Not a bot
888,@ari_joanne @hauslabs Yessssss 👩‍🔬👁,Not a bot
889,@JewelWoods_ See you soon 🧪💋,Not a bot
890,Supercharged clean artistry that embraces performance and vibrant colors. The future of clean makeup is coming June 9 💖 @sephora @hauslabs https://t.co/R0ocmTQ3JU https://t.co/7ZkhnaSQ1z,Not a bot
891,"@itstatenb @Sephora @hauslabs Clean with sustainable packaging, vegan + cruelty free NO COMPROMISE PERFORMANCE",Not a bot
892,"@_theeApollo @Sephora @hauslabs I am very passionate about this.  I don’t believe makeup should be bad for your skin ever, but what if it IMPROVED your skin",Not a bot
893,@reneeh1000000 @hauslabs @Sephora I’m so excited 😭,Not a bot
894,I know you’re going to love them as much as we do! Thank you from the bottom of my heart for helping make this dream come true. The Future Is Beautiful.,Not a bot
895,"On June 9, the ALL NEW @hauslabs launches at https://t.co/lfX4GLwMiF, https://t.co/Q9BJpKOnU4 (US &amp; CAN), and select @Sephora stores, with an incredible lineup of brand new products. And we’ll be in over 500 Sephora stores with even more new products this fall.",Not a bot
896,"At Haus Labs, artistry is for everyone, and no one should have to damage their skin or sacrifice their principles and values to be self-expressive with high-performance makeup.",Not a bot
897,"I’m extremely excited to announce that we are bringing brand new supercharged clean artistry makeup to the world, through a place that has inspired me for years, @sephora! https://t.co/lfX4GLwMiF @hauslabs https://t.co/LBxrRkNcCY",Not a bot
898,GO SEE #TopGunMaverick ITS EPIC BEAUTIFUL SPECTACULAR FILM https://t.co/PNYUxohasv,Not a bot
899,In case you were wondering if the plane in the #HoldMyHand video was CGI… it was real! And we did it over and over and over 😎 https://t.co/nZdpIIGTC6 https://t.co/znsrynQepi,Not a bot
900,#HOLDMYHAND 🖤 @TIDAL https://t.co/gAswFXxtGl https://t.co/BcfNx4Mao7,Not a bot
901,#HOLDMYHAND 🛩 @DEEZER https://t.co/7pXzEVH8X7 https://t.co/nxbhFlbywK,Not a bot
902,#HOLDMYHAND 💖 @PANDORAMUSIC https://t.co/n99t8oO8XF https://t.co/QGNKGQEwVp,Not a bot
903,#HOLDMYHAND 🤝 @YOUTUBEMUSIC https://t.co/LvzNJE5Wtz https://t.co/upu2M166XT,Not a bot
904,#HOLDMYHAND ❤️ @AMAZONMUSIC https://t.co/96Wr21kfwL https://t.co/P2SOyZdJ37,Not a bot
905,#HOLDMYHAND 🤍 @APPLEMUSIC https://t.co/SHnpThjfG3 https://t.co/ME3UpRXDxx,Not a bot
906,#HOLDMYHAND ✈️ @SPOTIFY https://t.co/VY71G8ErFv https://t.co/PfavJOoCHi,Not a bot
907,"RT @iansgaga: This is me reacting to Hold my hand music video for the first time!! @ladygaga You nailed it as always 🙏🏻
Thank you for this…",Not a bot
908,RT @JudassVenus: Promise you'll just Hold My Hand @ladygaga https://t.co/z2nukcsFLa,Not a bot
909,"RT @mars_palacio: PROMISE YOU'LL JUST HOLD MY HAND 🤝

@ladygaga https://t.co/vG6HxZpTbo",Not a bot
910,@Julie61828 gotta love the vibes from the fireplace videos! creates the perfect ambient background,Not a bot
911,@AlsimiDer pretty much. you get the vibes without the heat!,Not a bot
912,@Peystorm ya peyton!! sorry but i don't make the rules!!,Not a bot
913,@spiketheplayer can't get the festive holiday music! that paired with the fireplace video = PERFECTION,Not a bot
914,@YTGoldPrimvally let's make it happen! how about 10k hours 😆,Not a bot
915,@SuperMario343 well then this ten hour fireplace video is perfect - no heat!,Not a bot
916,@Charlot_sweetie wow! a real fireplace. you're lucky you can hear the crackling sounds irl!,Not a bot
917,@MarinaLeClair now that is the most relaxing sound 😍 nothing quite like it!,Not a bot
918,@ItsEmilySaxton it's only right that fireplace video stays on through the holidays!,Not a bot
919,the ten hour fireplace video STAYS ON ALL DAY,Not a bot
920,"@BustersSkull gramps definitely knows best, always bringing the encouragement 😎",Not a bot
921,@Calmmeworld it still can be! *pulling up your channel for grandpa to watch right now*,Not a bot
922,"@RealSirSupreme my exact expression was just like meowth’s, grandpa is the best!",Not a bot
923,@engagingweirdo got to love grandpa’s responses 🥹 the sweetest of all time!,Not a bot
924,@dinochester88 he loves all of your playthroughs and hopes you have a great holiday 😌❤️,Not a bot
925,@Alfie44269302 grandpa always knows what to say 🥹 merry christmas eve alfie!,Not a bot
926,@AbugaKe close... same facial expression but gramps is a lil taller than mike wazowski,Not a bot
927,i asked my grandpa who his favorite creator was and he said “you” 😭,Not a bot
928,@akyanurag51 any you've been loving? would love some recs to watch this weekend 🥰,Not a bot
929,@hanah_ahmad_ i'm just happy to be here 🙂,Not a bot
930,@spaghety_no s/o to all the couples making vlogs ❤️ do you have any favorites rn?,Not a bot
931,@MariahCarey we need a ranking of your top 3 holiday videos. the lambs wanna know 🥺🎶,Not a bot
932,@spiketheplayer infinite times yes!! there's so many good vids to watch 🔥,Not a bot
933,@DaytripTravelrs don't sleep on our furry friends! they sure can whip it up in the kitchen 🍽️,Not a bot
934,"@CaptEggcellent honestly sounds like an eggcellent corner to be in, captain 🔥",Not a bot
935,@Kinvig86 there's that moment before the smush where you find yourself wondering how this is about to go down 😅,Not a bot
936,@EntertainASMR that's awesome 😊 so glad you were able to discover and enjoy a new passion!!,Not a bot
937,@tonicate10 i'm always scared that it might hurt but also can't take my eyes off them 😅,Not a bot
938,watching couples vlogs this cuffing season to forget im single 🥲,Not a bot
939,a corner of YouTube you didn’t think you’d be obsessed with?,Not a bot
940,@weare_WandR throwing around that holiday cheer like it's confetti 🎉,Not a bot
941,@DripDenis let's face it @MariahCarey owns the holiday szn ❤️,Not a bot
942,"@Ritzcrackers it's time ritz, it's time 😌",Not a bot
943,@kristileilani jimmy was absolutely right for saying that! @MariahCarey is the queen of the holiday szn ❄️ 👑,Not a bot
944,@protyook ...there is just one thing i need 🎄🎶,Not a bot
945,don’t talk to me rn i’m watching @MariahCarey holiday videos,Not a bot
946,"@MiloTheProCat there are times when you strut and there are times when you bury yourself in blankets, the choice is always yours 😌",Not a bot
947,"@DanishPandey5 when you get the lighting just right, it doesn't matter what you're wearing bc the fashion show is elite ☀️",Not a bot
948,@emmakennytv my heart 🥹🥹,Not a bot
949,@OfficialCrabPPL i'm sure i can find something to fit all the crab people! only the best and biggest blankets for you all 🦀,Not a bot
950,@oliverrrr222 i'll do my best to make you proud 🥰,Not a bot
951,@lxnch tbh it feels like you can't escape it 😩 i think i'll just chill under some blankets and watch my fav videos until it passes,Not a bot
952,.@iamtonytalks is style goals for sure,Not a bot
953,@3king3prince1 it is certainly cold here but i wouldn't say impossible 😅 i hope you're able to cozy up in some of your thickest blankets and stay warm!,Not a bot
954,@GaLaXy23425 it's like when you're bored and it's cold so you just have to strut around the house with the biggest blanket you own 🥶,Not a bot
955,@JensonWasTaken hey it's the best outfit i could come up with from the comfort of my bed 😅,Not a bot
956,"@JerryWatkins22 looks like it's your time to shine, jerry!! everyone's gonna be hitting you up for that YouTubeTV connect 😎",Not a bot
957,having a fashion show with all of my thickest blankets!,Not a bot
958,@daniel_hamel baking vids always make me hungry 😅 gotta love these yummy treats during the holiday season!,Not a bot
959,@AndrewisaPCnerd delicious gingerbread cookies and awesome gingerbread houses 🤩 love these vids!,Not a bot
960,@Linkmastercjh love how easily they can be customized with so many different colors!! looks like they smell great too 😊,Not a bot
961,@Darkandlight420 yes!! like how are we doing this with such tinyyy little food 🤯 so much talent!,Not a bot
962,@Emmaaaau11 granny's chicken soup recipe is undefeated ngl 😋,Not a bot
963,@Arcengal love sonic (and youtube recommended),Not a bot
964,best cooking videos to watch during the holidays??,Not a bot
965,NFL 👏 Sunday 👏 Ticket 👏 is coming to YouTube Primetime Channels and @YouTubeTV in *2023*. https://t.co/c8sbA25IXw,Not a bot
966,@ThrowbacksGaga talented. brilliant. incredible. amazing. showstopping. spectacular. never the same. totally unique. completely never been done before.,Not a bot
967,@ltmuseum learning from the best 🚆,Not a bot
968,@SamRyderMusic love this shorts series to wrap up the year 🥰,Not a bot
969,@Jammy_GB documentaries during the holidays hit different &gt;&gt;&gt;&gt;,Not a bot
970,@CRahme79 it just makes watching those videos that much better... what's your fav video to watch with friends? 😍,Not a bot
971,@ItsJG_1 being able to walk down memory lane with your friends is the best feeling 😊,Not a bot
972,@AnishaCartoons reminiscing with old friends is a first class ticket to nostalgia 🥹 what's your go to old video?,Not a bot
973,@whymiugh BTS will def melt your heart into two 🧈 what's your fav song of theirs??,Not a bot
974,@cPatterson653 SAME! it's great jumping around niche to niche or when you come across something completely new 😌,Not a bot
975,@teresaholmes351 omg nothing was better than making music videos with friends back in the day lol,Not a bot
976,"@violettalksalot good times, nothing better than going down memory lane!",Not a bot
977,@SpotLuckz nothing beats the simpler times with old friends ❤️,Not a bot
978,@Evelyn_Winters watching old videos and memories can def feel like time travel in a way!!,Not a bot
979,nothing like watching old videos with old friends 🥹,Not a bot
980,@MAlshrairi there's nothing better than content that puts a smile on your face! ☺️ who are some creators that can always manage to make you laugh?,Not a bot
981,@Brownie_Bear95 can NEVER go wrong with those!! do you have a fave reaction video from this year?? 🤩,Not a bot
982,@JTechEV22 that's awesome jared!! what have been some of your favorite videos and creators in the tech space this year? 💻,Not a bot
983,@TheMurphyAlex love that! it's all about finding content that inspires you and makes you happy 🧠,Not a bot
984,@chrismd10 inspiring a whole footy generation Chris 😍,Not a bot
985,@SpencerOwen an inspiration to many 🤩,Not a bot
986,describe your watch history in one word 👀,Not a bot
987,@Jayecane they really are jaye!! something about them is so ~ calming ~ as well 😌,Not a bot
988,@DaveyJustice ahh that's so smart!! gonna need to try that this week,Not a bot
989,"@Carubichips ahh yess, wool coats are so comfy and does a great job keeping you warm! smart choice 😌",Not a bot
990,@ChoclateCake04 impressive! making your own scarf must make it that much more special to wear 🧣,Not a bot
991,"@amayablossom oh my gosh!! this is so sweeet, they are PERFECT!! ty for sharing 🥰",Not a bot
992,@kevsmac love the holiday spirit you're giving! do you have the matching suit? 😏,Not a bot
993,@LionelHiggins4 it's just what's needed for the perfect vibe on a cold december monday 😊,Not a bot
994,@Shaun_Balliah looks like you have a really good night's sleep in your future!! 😴,Not a bot
995,@AZGirlGaming1 these videos are magic! do you listen to different videos or the same one every night?,Not a bot
996,"@xL_E_Gx with the excitement and busyness of the holidays, i can always count on gentle night rain videos to provide some peace! what do you use it for??",Not a bot
997,@patroamelody yesss thankful for all the creators who create these soothing videos that help us all relax and get a good night's sleep ❤️,Not a bot
998,vibing to gentle night rain videos 😌,Not a bot
999,@WiroNite glad that hat keeps you warm! thank you for working hard to keep other's safe!! 🌟,Not a bot
1000,@jbiupui a black peacoat is THE statement piece of winter! you can never go wrong with one 🤩,Not a bot
1001,@Crazynailzz love that!! such a great idea ❄️,Not a bot
1002,@Crazynailzz sometimes all you need is a ✨pop✨ of color in the winter! do you ever match it with your nails?? 😍,Not a bot
1003,@ItsNeutralNexus motion to make wearing blankets all winter an acceptable fashion statement!,Not a bot
1004,@MoiraJo09867794 giving ~ wednesday ~ vibes and i'm soooo here for it 🖤,Not a bot
1005,what’s your winter fashion statement piece?,Not a bot
1006,@Russellpan2Pan yesss! watching vids from your fav creators while snacking is ✨perfection✨,Not a bot
1007,@Venix1234 not a fan of CC mode? what's your recommended way to watch??,Not a bot
1008,@YaBoiScott_18 there's no denying this is the ultimate watching experience! what's your go to snack and drink? 👀,Not a bot
1009,"@JimboKenners CC is a must for sure, limits the amount of parts i have to rewatch 🥲",Not a bot
1010,@jgabe1101 that sounds like the best way to watch your fave videos 🤩,Not a bot
1011,@uncle_rybread sounds like a great set up for watching 😎 what's your fave kind of video to watch?,Not a bot
1012,"@SamaelSmith oooh that is bold choice, but sometimes a necessary one 😌",Not a bot
1013,"@raz_mii check, check and check ✅  that sounds like a perfect way to watch a video!",Not a bot
1014,best way to watch,Not a bot
1015,@HammeRhageYT yess there are sooo many good ones!! ngl they are so satisfying to watch 👟🧼,Not a bot
1016,@abdieshariff_10 major respect!! what is your fave sneaker cleaning routine...asking for a friend 😅,Not a bot
1017,@ItsEmilySaxton so happy you got to go outside and soak up some sunshine! love to see it emily ❤️,Not a bot
1018,anyone else watch sneaker cleaning videos but…never actually clean your sneakers  😅,Not a bot
1019,@BlazzerBlue i think i will 🤩 gonna go build a snowman and then have a snowball fight ❄️,Not a bot
1020,@FIFAWorldCup football = completed it ✅ #ShortsFIFAWorldCup,Not a bot
1021,@ItsEmilySaxton it kinda looks like this 🌱 and its all green!,Not a bot
1022,@mws i forgot it's snowing in some places lol 😭 but a friendly snowball fight is always fun ❄️,Not a bot
1023,"quelle finale incroyable, bien joué les Bleus 💙",Not a bot
1024,@SinfulBlues ok deal i'll do it if you do it 🌱,Not a bot
1025,@KienVo1 finally got the 3rd 🌟 today and they fully deserved it,Not a bot
1026,@VikingVGame we could also build a snowman if you're down?? could be fun ☃️,Not a bot
1027,@LeeEunbiEunbi1 @FIFAWorldCup the beautiful game 🌎,Not a bot
1028,"@SkinraYT une perf historique, peu importe le résultat !",Not a bot
1029,@LeBouseuh GG 🤝,Not a bot
1030,@Duntless_ maybe in this case it's...touch snow? 😭,Not a bot
1031,no caption needed ⚽️🇦🇷 #ShortsFIFAWorldCup @fifaworldcup https://t.co/7MNJTJspt0,Not a bot
1032,WOAH 64 games ✅ what’s been ur highlight ? #ShortsFIFAWorldCup,Not a bot
1033,"¡QUEESTAPASANDO! 💙😭Lloro de emoción porque la copa es de Latinoamérica, la copa es de Argentina. 🇦🇷 No me pienso quitar la camiseta en todo el mes. ⚽️🏆",Not a bot
1034,@standiop ce match est irréel 😭,Not a bot
1035,@yannoujr10 on n'aurait pas pu espérer une meilleure finale 🔥🔥,Not a bot
